hsib1 hsib2 Probability
L1320 L2236 0.890
L1320 L0409 0.936
L1320 L0844 0.875
L0882 L0340 0.997
L0882 L0654 0.978
L0768 L1219 0.002
L0768 L1269 0.521
L0768 L0418 0.935
L0768 L0371 0.979
L0682 L1261 0.007
L0682 L0257 0.983
L0682 L2235 0.799
L0682 L1313 0.275
L0682 L2200 0.959
L1319 L0412 0.982
L0878 L0399 0.048
L0878 L0433 0.916
L0878 L1211 0.353
L0878 L0274 0.926
L0878 L2235 0.984
L1221 L2488 0.991
L0674 L0869 0.002
L0674 L2488 0.014
L0674 L0350 0.005
L0874 L0263 0.979
L0874 L1688 0.995
L0874 L0423 0.990
L0874 L2231 0.996
L0872 L0268 0.951
L0872 L1651 0.044
L1219 L0473 0.885
L1219 L0408 0.860
L1219 L1223 0.978
L0870 L0369 0.192
L0870 L1211 0.977
L0870 L0666 0.651
L0869 L1619 0.002
L0869 L0367 0.002
L0869 L1271 0.965
L0862 L0356 0.977
L0862 L1303 0.024
L0862 L0654 0.477
L1314 L1602 0.001
L1314 L0359 0.494
L0667 L0397 0.791
L0667 L0396 0.919
L0667 L1083 0.924
L0667 L1601 0.970
L0667 L0334 0.994
L0861 L0416 0.722
L0861 L0384 0.987
L0860 L1646 0.998
L1312 L0406 0.992
L1312 L1304 0.511
L1312 L0373 0.915
L2443 L0299 0.941
L2443 L0281 0.977
L2443 L1658 0.004
L2443 L0676 0.874
L2443 L1212 0.003
L2238 L1099 0.981
L2236 L0366 0.849
L2236 L1085 0.004
L2236 L0320 0.054
L2236 L0382 0.968
L2236 L0844 0.068
L2236 L0853 0.021
L2236 L2233 0.795
L2236 L0275 0.989
L2395 L1697 0.002
L2395 L0276 0.810
L2395 L1662 0.002
L2395 L1718 0.002
L2395 L0456 0.977
L2395 L1071 0.722
L2395 L0379 0.002
L2395 L0403 0.002
L2395 L0437 0.002
L0479 L1177 0.988
L0479 L1610 0.993
L0478 L0414 0.868
L0478 L0338 0.973
L0478 L0341 0.992
L0474 L0266 0.993
